epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.669,1.3502,2.43714,1.403,0.41423,0.63907,0.5124,0.33391,1.13333,1.54566,1.18441,0.000172025,0.000172025,0.000172025
2,31.2145,1.10354,1.19482,1.1665,0.54927,0.79053,0.62531,0.42979,1.05927,1.08828,1.15019,0.000340481,0.000340481,0.000340481
3,44.7246,1.09826,1.08879,1.17607,0.49176,0.74483,0.582,0.39943,1.09121,1.21929,1.1978,0.000501993,0.000501993,0.000501993
4,61.2684,1.09019,1.03911,1.16047,0.56338,0.80984,0.65748,0.45796,1.06729,0.98669,1.18654,0.000494756,0.000494756,0.000494756
5,74.5099,1.05225,0.97197,1.14291,0.54737,0.8184,0.67081,0.47904,1.00069,0.9948,1.1198,0.000484341,0.000484341,0.000484341
6,90.4477,1.05178,0.94465,1.14842,0.59118,0.85747,0.6729,0.48439,0.99285,0.90337,1.12648,0.000473926,0.000473926,0.000473926
7,104.415,1.02556,0.92059,1.13069,0.60016,0.84614,0.69041,0.49688,0.99823,0.90686,1.11084,0.000463511,0.000463511,0.000463511
8,118.021,1.00204,0.89579,1.11394,0.58424,0.86786,0.68064,0.49499,0.95818,0.92691,1.10312,0.000453096,0.000453096,0.000453096
9,134.734,1.01082,0.88036,1.13202,0.62326,0.8744,0.68692,0.51081,0.94224,0.83024,1.07991,0.000442682,0.000442682,0.000442682
10,148.565,0.9915,0.8577,1.11485,0.63109,0.88268,0.68778,0.51235,0.93357,0.82188,1.09116,0.000432267,0.000432267,0.000432267
11,164.71,0.9756,0.85123,1.10942,0.60901,0.89032,0.67964,0.49753,0.95785,0.82972,1.09771,0.000421852,0.000421852,0.000421852
12,177.901,0.97983,0.838,1.112,0.63498,0.87046,0.67644,0.50159,0.92601,0.82376,1.09572,0.000411437,0.000411437,0.000411437
13,193.711,0.97338,0.83659,1.10709,0.59912,0.89575,0.68441,0.51692,0.91224,0.8068,1.0845,0.000401022,0.000401022,0.000401022
14,207.563,0.94965,0.81194,1.09815,0.65337,0.90592,0.69865,0.52577,0.91177,0.79374,1.07505,0.000390608,0.000390608,0.000390608
15,221.365,0.94629,0.79988,1.08592,0.64615,0.88184,0.71384,0.54384,0.9039,0.77841,1.07168,0.000380193,0.000380193,0.000380193
16,238.437,0.93872,0.79826,1.09515,0.65133,0.88239,0.69876,0.52948,0.91214,0.77716,1.07002,0.000369778,0.000369778,0.000369778
17,252.377,0.92738,0.78351,1.08174,0.63694,0.8853,0.68225,0.51178,0.91268,0.80102,1.07792,0.000359363,0.000359363,0.000359363
